player,avg_cp_loss,avg_rel_loss,avg_log_norm_loss,total_moves,moves_under_5s,critical_moves
David Navara,63.810178817056396,6.931352326482802,19.988370389234497,1454,720,689
Aleksander Grischuk,67.38773274917854,3.4607157701479028,13.956012245002274,4565,2963,1818
Magnus Carlsen,85.48146364949446,4.933743892451696,19.53871776909679,2077,841,1021
Fabiano Caruana,87.96039603960396,9.078664098293583,25.022623137183103,1919,785,735
Christopher Yoo,90.47774672113523,6.203382890310966,21.973120010165317,4651,3257,1879
Hikaru Nakamura,92.3778216704289,6.991412007306662,22.586665098035393,3544,712,1724
Alireza Firouzja,99.59988568162332,9.02523656634703,26.872352267947534,3499,2151,1564
Daniel Naroditsky,118.11810730253353,8.338770441324757,28.417042981193894,5368,3292,2281
Matthias Bluebaum,194.80412931268677,10.89676057618066,41.684773764834425,3681,1445,1597
